,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos
1561,K. Mohwald,25,Germany,SV Werder Bremen,75,78,€8M,€24K,CM,2021,59,70,76,74,61,67,Bundesliga,Germany,Midfielder,8M,24K,"K. Mohwald, CM"
1562,K. Monnet-Paquet,30,France,AS Saint-etienne,73,73,€3.8M,€24K,LM,2021,79,68,70,70,52,73,Ligue 1,France,Midfielder,3.8M,24K,"K. Monnet-Paquet, LM"
1563,K. Mouanga,18,France,Angers SCO,60,76,€400K,€1K,CB,2022,55,31,35,38,61,66,Ligue 1,France,Defender,400K,1K,"K. Mouanga, CB"
1564,K. N'Doram,23,France,FC Metz,70,77,€2.3M,€8K,CDM,2020,56,33,60,62,71,71,Ligue 1,France,Midfielder,2.3M,8K,"K. N'Doram, CDM"
1565,K. Navas,32,Costa Rica,Real Madrid,87,87,€30.5M,€195K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,30.5M,195K,"K. Navas, GK"
1566,K. Nwakali,21,Nigeria,Arsenal,65,77,€975K,€12K,CAM,2021,71,55,59,72,34,57,Premier League,UK,Midfielder,975K,12K,"K. Nwakali, CAM"
1567,K. Omeruo,25,Nigeria,CD Leganes,75,82,€8.5M,€23K,CB,2024,70,32,50,58,73,78,La Liga,Spain,Defender,8.5M,23K,"K. Omeruo, CB"
1568,K. Onisiwo,27,Austria,1. FSV Mainz 05,75,76,€8M,€28K,ST,2022,78,70,67,75,53,76,Bundesliga,Germany,Forward,8M,28K,"K. Onisiwo, ST"
1569,K. Piatek,24,Poland,Milan,80,86,€20.5M,€44K,ST,2023,76,80,53,73,38,71,Serie A,Italy,Forward,20.5M,44K,"K. Piatek, ST"
1570,K. Proger,27,Germany,SC Paderborn 07,69,69,€1.1M,€11K,RM,2022,89,65,59,70,38,65,Bundesliga,Germany,Midfielder,1.1M,11K,"K. Proger, RM"
1571,K. Ramsay,18,England,Southampton,61,76,€475K,€2K,RB,2021,70,33,44,60,58,63,Premier League,UK,Defender,475K,2K,"K. Ramsay, RB"
1572,K. Reichel,32,Germany,1. FC Union Berlin,72,72,€1.9M,€24K,LB,2020,68,68,66,67,71,75,Bundesliga,Germany,Defender,1.9M,24K,"K. Reichel, LB"
1573,K. Rekik,24,Netherlands,Hertha BSC,78,82,€12M,€24K,CB,2021,67,39,59,62,78,77,Bundesliga,Germany,Defender,12M,24K,"K. Rekik, CB"
1574,K. Schindler,25,Ghana,1. FC Koln,73,74,€4.8M,€21K,RM,2023,82,69,65,71,45,66,Bundesliga,Germany,Midfielder,4.8M,21K,"K. Schindler, RM"
1575,K. Schlotterbeck,22,Germany,1. FC Union Berlin,67,75,€1M,€10K,CB,2020,58,22,52,49,67,69,Bundesliga,Germany,Defender,1M,10K,"K. Schlotterbeck, CB"
1576,K. Schmeichel,32,Denmark,Leicester City,83,83,€15.5M,€82K,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,15.5M,82K,"K. Schmeichel, GK"
1577,K. Sema,25,Sweden,Watford,72,74,€3.8M,€38K,LM,2023,78,66,69,75,42,68,Premier League,UK,Midfielder,3.8M,38K,"K. Sema, LM"
1578,K. Shelton,26,United States,SC Paderborn 07,65,68,€675K,€7K,ST,2021,75,56,56,65,37,72,Bundesliga,Germany,Forward,675K,7K,"K. Shelton, ST"
1579,K. Sidibe,20,France,Toulouse Football Club,67,77,€1.1M,€6K,CDM,2023,51,45,56,58,66,72,Ligue 1,France,Midfielder,1.1M,6K,"K. Sidibe, CDM"
1580,K. Stafylidis,25,Greece,TSG 1899 Hoffenheim,75,78,€7.5M,€26K,LWB,2023,75,64,68,73,72,74,Bundesliga,Germany,Defender,7.5M,26K,"K. Stafylidis, LWB"
1581,K. Stoger,25,Austria,Fortuna Dusseldorf,77,79,€11M,€30K,CAM,2020,69,67,77,78,40,62,Bundesliga,Germany,Midfielder,11M,30K,"K. Stoger, CAM"
1582,K. Strootman,29,Netherlands,Olympique de Marseille,80,80,€14M,€45K,CM,2023,57,72,80,73,77,80,Ligue 1,France,Midfielder,14M,45K,"K. Strootman, CM"
1583,K. Taylor,19,England,Bournemouth,61,73,€425K,€5K,CAM,2022,68,54,59,63,41,50,Premier League,UK,Midfielder,425K,5K,"K. Taylor, CAM"
1584,K. Tete,23,Netherlands,Olympique Lyonnais,77,82,€10.5M,€47K,RB,2021,76,46,66,67,78,77,Ligue 1,France,Defender,10.5M,47K,"K. Tete, RB"
1585,K. Thuram,18,France,OGC Nice,62,80,€600K,€1K,CDM,2022,65,45,59,60,58,69,Ligue 1,France,Midfielder,600K,1K,"K. Thuram, CDM"
1586,K. Tierney,22,Scotland,Arsenal,76,86,€11M,€52K,LB,2024,88,59,70,74,71,81,Premier League,UK,Defender,11M,52K,"K. Tierney, LB"
1587,K. Toko-Ekambi,26,Cameroon,Villarreal CF,79,81,€15.5M,€40K,ST,2023,79,78,67,78,27,68,La Liga,Spain,Forward,15.5M,40K,"K. Toko-Ekambi, ST"
1588,K. Trapp,28,Germany,Eintracht Frankfurt,83,84,€21.5M,€42K,GK,2024,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,21.5M,42K,"K. Trapp, GK"
1589,K. Trippier,28,England,Atletico Madrid,80,80,€12.5M,€56K,RB,2022,74,60,81,76,78,72,La Liga,Spain,Defender,12.5M,56K,"K. Trippier, RB"
1590,K. Vogt,27,Germany,TSG 1899 Hoffenheim,80,80,€13.5M,€39K,CB,2022,73,57,71,67,80,79,Bundesliga,Germany,Defender,13.5M,39K,"K. Vogt, CB"
1591,K. Volland,26,Germany,Bayer 04 Leverkusen,82,83,€26.5M,€85K,ST,2021,76,84,79,79,41,83,Bundesliga,Germany,Forward,26.5M,85K,"K. Volland, ST"
1592,K. Walker,29,England,Manchester City,84,84,€25.5M,€165K,RB,2024,91,63,76,77,81,81,Premier League,UK,Defender,25.5M,165K,"K. Walker, RB"
1593,K. Walker-Peters,22,England,Tottenham Hotspur,74,80,€7M,€49K,RB,2023,76,37,66,72,72,66,Premier League,UK,Defender,7M,49K,"K. Walker-Peters, RB"
1594,K. Zohi,22,Mali,RC Strasbourg Alsace,68,76,€1.3M,€10K,LM,2021,78,66,58,72,24,55,Ligue 1,France,Midfielder,1.3M,10K,"K. Zohi, LM"
1595,K. Zouma,24,France,Chelsea,80,84,€17.5M,€85K,CB,2023,64,51,59,55,78,83,Premier League,UK,Defender,17.5M,85K,"K. Zouma, CB"
1596,Kaiser,23,Spain,SD Eibar,61,70,€350K,€3K,CB,2021,61,34,42,42,62,58,La Liga,Spain,Defender,350K,3K,"Kaiser, CB"
1597,Kangin Lee,18,Korea Republic,Valencia CF,76,86,€11.5M,€11K,CAM,2022,72,71,75,80,27,49,La Liga,Spain,Midfielder,11.5M,11K,"Kangin Lee, CAM"
1598,Kenedy,23,Brazil,Chelsea,75,82,€9.5M,€67K,LM,2020,76,67,71,78,57,61,Premier League,UK,Midfielder,9.5M,67K,"Kenedy, LM"
1599,Kepa,24,Spain,Chelsea,84,89,€31M,€92K,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,31M,92K,"Kepa, GK"
1600,Kevin,26,Spain,RC Celta,68,71,€975K,€8K,RB,2023,71,52,62,65,65,67,La Liga,Spain,Defender,975K,8K,"Kevin, RB"
1601,Kevin Rodrigues,25,Portugal,Real Sociedad,74,79,€6.5M,€20K,LB,2022,71,48,69,63,72,61,La Liga,Spain,Defender,6.5M,20K,"Kevin Rodrigues, LB"
1602,Ki Sung Yueng,30,Korea Republic,Newcastle United,76,76,€7M,€37K,CM,2020,58,72,79,74,64,69,Premier League,UK,Midfielder,7M,37K,"Ki Sung Yueng, CM"
1603,Kike Barja,22,Spain,CA Osasuna,69,76,€1.5M,€12K,LM,2021,74,62,64,69,34,59,La Liga,Spain,Midfielder,1.5M,12K,"Kike Barja, LM"
1604,Kike García,29,Spain,SD Eibar,79,79,€12.5M,€32K,ST,2021,61,79,63,75,38,73,La Liga,Spain,Forward,12.5M,32K,"Kike García, ST"
1605,Kiko Femenía,28,Spain,Watford,76,76,€6.5M,€53K,RB,2021,75,58,71,79,73,68,Premier League,UK,Defender,6.5M,53K,"Kiko Femenía, RB"
1606,Kiko Olivas,30,Spain,Real Valladolid CF,76,76,€6M,€18K,CB,2022,52,52,59,59,76,78,La Liga,Spain,Defender,6M,18K,"Kiko Olivas, CB"
1607,Koke,27,Spain,Atletico Madrid,85,85,€40.5M,€88K,RM,2024,68,75,86,82,74,79,La Liga,Spain,Midfielder,40.5M,88K,"Koke, RM"
1608,Kuki Zalazar,21,Spain,Real Valladolid CF,66,77,€1.1M,€4K,CAM,2022,60,62,66,71,27,37,La Liga,Spain,Midfielder,1.1M,4K,"Kuki Zalazar, CAM"
1609,Kwon Chang Hoon,25,Korea Republic,SC Freiburg,75,78,€8.5M,€22K,RM,2023,73,72,73,76,52,60,Bundesliga,Germany,Midfielder,8.5M,22K,"Kwon Chang Hoon, RM"
1610,L. Agbenyenu,22,Ghana,RCD Mallorca,71,77,€2.9M,€12K,LB,2020,82,46,59,71,68,71,La Liga,Spain,Defender,2.9M,12K,"L. Agbenyenu, LB"
1611,L. Agoume,17,France,Inter,63,85,€800K,€1K,CM,2022,65,54,59,64,46,63,Serie A,Italy,Midfielder,800K,1K,"L. Agoume, CM"
1612,L. Ajorque,25,France,RC Strasbourg Alsace,75,79,€8.5M,€28K,ST,2022,57,74,52,67,27,79,Ligue 1,France,Forward,8.5M,28K,"L. Ajorque, ST"
1613,L. Alario,26,Argentina,Bayer 04 Leverkusen,79,82,€16M,€70K,ST,2022,71,77,59,75,29,75,Bundesliga,Germany,Forward,16M,70K,"L. Alario, ST"
1614,L. Andrenacci,24,Italy,Brescia,66,71,€650K,€3K,GK,2024,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,650K,3K,"L. Andrenacci, GK"
1615,L. Augustinsson,25,Sweden,SV Werder Bremen,76,81,€9M,€23K,LB,2022,76,59,75,74,71,72,Bundesliga,Germany,Defender,9M,23K,"L. Augustinsson, LB"
1616,L. Baal,33,France,Stade Brestois 29,71,71,€1.1M,€11K,LB,2020,66,50,66,65,70,72,Ligue 1,France,Defender,1.1M,11K,"L. Baal, LB"
1617,L. Bailey,21,Jamaica,Bayer 04 Leverkusen,82,88,€30.5M,€65K,LW,2023,91,77,75,84,33,64,Bundesliga,Germany,Forward,30.5M,65K,"L. Bailey, LW"
1618,L. Baines,34,England,Everton,75,75,€2.3M,€57K,LB,2020,56,68,77,75,76,59,Premier League,UK,Defender,2.3M,57K,"L. Baines, LB"
1619,L. Baker,24,England,Fortuna Dusseldorf,71,77,€3.2M,€16K,CM,2020,68,67,72,71,63,66,Bundesliga,Germany,Midfielder,3.2M,16K,"L. Baker, CM"
1620,L. Balerdi,20,Argentina,Borussia Dortmund,64,80,€925K,€9K,CB,2024,66,30,47,49,64,67,Bundesliga,Germany,Defender,925K,9K,"L. Balerdi, CB"
1621,L. Balogun,31,Nigeria,Brighton & Hove Albion,74,74,€4.2M,€35K,CB,2020,57,45,60,60,74,72,Premier League,UK,Defender,4.2M,35K,"L. Balogun, CB"
1622,L. Barreiro Martins,19,Luxembourg,1. FSV Mainz 05,62,79,€650K,€3K,CM,2022,73,51,58,73,54,48,Bundesliga,Germany,Midfielder,650K,3K,"L. Barreiro Martins, CM"
1623,L. Bender,30,Germany,Bayer 04 Leverkusen,80,80,€11.5M,€62K,RB,2021,65,64,72,72,83,77,Bundesliga,Germany,Defender,11.5M,62K,"L. Bender, RB"
1624,L. Benes,21,Slovakia,Borussia Monchengladbach,70,80,€2.9M,€11K,CAM,2021,65,68,72,71,35,56,Bundesliga,Germany,Midfielder,2.9M,11K,"L. Benes, CAM"
1625,L. Benito,27,Switzerland,FC Girondins de Bordeaux,73,74,€4M,€22K,LB,2022,68,50,67,68,71,75,Ligue 1,France,Defender,4M,22K,"L. Benito, LB"
1626,L. Biglia,33,Argentina,Milan,82,82,€11M,€49K,CDM,2020,55,63,81,81,77,68,Serie A,Italy,Midfielder,11M,49K,"L. Biglia, CDM"
1627,L. Bittencourt,25,Germany,TSG 1899 Hoffenheim,77,79,€11M,€33K,CAM,2023,82,65,75,83,54,59,Bundesliga,Germany,Midfielder,11M,33K,"L. Bittencourt, CAM"
1628,L. Bonucci,32,Italy,Juventus,86,86,€28.5M,€160K,CB,2023,58,58,69,70,87,79,Serie A,Italy,Defender,28.5M,160K,"L. Bonucci, CB"
1629,L. Bruggemeier,21,Germany,SC Paderborn 07,57,66,€130K,€2K,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,130K,2K,"L. Bruggemeier, GK"
1630,L. Butelle,36,France,Angers SCO,74,74,€950K,€10K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,950K,10K,"L. Butelle, GK"
1631,L. Cabrera,27,Uruguay,Getafe CF,79,82,€13.5M,€26K,CB,2021,58,31,58,57,79,80,La Liga,Spain,Defender,13.5M,26K,"L. Cabrera, CB"
1632,L. Capezzi,24,Italy,Sampdoria,70,73,€2.2M,€16K,CM,2021,48,59,70,66,59,60,Serie A,Italy,Midfielder,2.2M,16K,"L. Capezzi, CM"
1633,L. Carole,28,France,RC Strasbourg Alsace,72,72,€2.7M,€19K,LWB,2021,76,40,64,73,72,71,Ligue 1,France,Defender,2.7M,19K,"L. Carole, LWB"
1634,L. Castro,30,Argentina,Cagliari,77,77,€8M,€33K,CM,2021,71,67,78,80,64,66,Serie A,Italy,Midfielder,8M,33K,"L. Castro, CM"
1635,L. Ceppitelli,29,Italy,Cagliari,73,73,€3.4M,€24K,CB,2021,54,33,35,40,75,74,Serie A,Italy,Defender,3.4M,24K,"L. Ceppitelli, CB"
1636,L. Checchin,22,Italy,Hellas Verona,63,73,€575K,€3K,CM,2022,66,52,65,61,57,68,Serie A,Italy,Midfielder,575K,3K,"L. Checchin, CM"
1637,L. Chevalier,17,France,LOSC Lille,58,82,€230K,€1K,GK,2023,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,230K,1K,"L. Chevalier, GK"
1638,L. Chichizola,29,Argentina,Getafe CF,76,77,€6M,€18K,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,6M,18K,"L. Chichizola, GK"
1639,L. Cigarini,33,Italy,Cagliari,74,74,€3.3M,€27K,CM,2020,57,66,78,73,67,61,Serie A,Italy,Midfielder,3.3M,27K,"L. Cigarini, CM"
1640,L. Clarke,34,England,Sheffield United,70,70,€925K,€20K,ST,2020,61,69,56,62,30,77,Premier League,UK,Forward,925K,20K,"L. Clarke, ST"
1641,L. Clemenza,21,Italy,Juventus,67,76,€1.2M,€19K,CAM,2020,65,57,68,74,33,41,Serie A,Italy,Midfielder,1.2M,19K,"L. Clemenza, CAM"
1642,L. Cook,22,England,Bournemouth,77,84,€12.5M,€52K,CM,2022,70,63,75,78,66,69,Premier League,UK,Midfielder,12.5M,52K,"L. Cook, CM"
1643,L. Coulibaly,23,Mali,Angers SCO,68,77,€1.4M,€8K,CM,2021,78,53,61,69,70,73,Ligue 1,France,Midfielder,1.4M,8K,"L. Coulibaly, CM"
1644,L. Crisetig,26,Italy,Bologna,74,75,€6.5M,€27K,CM,2020,49,51,72,72,69,73,Serie A,Italy,Midfielder,6.5M,27K,"L. Crisetig, CM"
1645,L. de Jong,28,Netherlands,Sevilla FC,82,82,€23M,€29K,ST,2023,56,79,71,69,51,78,La Liga,Spain,Forward,23M,29K,"L. de Jong, ST"
1646,L. De Silvestri,31,Italy,Torino,75,75,€6M,€37K,RM,2020,71,68,73,74,76,75,Serie A,Italy,Midfielder,6M,37K,"L. De Silvestri, RM"
1647,L. Dehl,17,Germany,1. FC Union Berlin,58,73,€250K,€1K,CAM,2021,56,52,56,58,44,51,Bundesliga,Germany,Midfielder,250K,1K,"L. Dehl, CAM"
1648,L. Dendoncker,24,Belgium,Wolverhampton Wanderers,78,84,€14M,€66K,CM,2023,67,72,77,71,78,83,Premier League,UK,Midfielder,14M,66K,"L. Dendoncker, CM"
1649,L. Diaby Fadiga,18,France,OGC Nice,64,78,€950K,€3K,ST,2021,66,63,56,63,25,62,Ligue 1,France,Forward,950K,3K,"L. Diaby Fadiga, ST"
1650,L. Dickmann,22,Italy,SPAL,68,77,€1.2M,€5K,RB,2024,68,39,58,67,68,60,Serie A,Italy,Defender,1.2M,5K,"L. Dickmann, RB"
1651,L. Digne,25,France,Everton,83,86,€28.5M,€97K,LB,2023,78,69,79,79,80,76,Premier League,UK,Defender,28.5M,97K,"L. Digne, LB"
1652,L. Diony,26,France,AS Saint-etienne,74,77,€7M,€29K,ST,2021,77,73,63,71,25,74,Ligue 1,France,Forward,7M,29K,"L. Diony, ST"
1653,L. Dreher,20,England,Crystal Palace,59,74,€350K,€6K,CM,2020,63,47,57,60,46,58,Premier League,UK,Midfielder,350K,6K,"L. Dreher, CM"
1654,L. Dubois,24,France,Olympique Lyonnais,79,83,€14.5M,€55K,RB,2022,74,61,75,75,77,73,Ligue 1,France,Defender,14.5M,55K,"L. Dubois, RB"
1655,L. Dunk,27,England,Brighton & Hove Albion,78,80,€11M,€46K,CB,2023,46,40,55,61,78,77,Premier League,UK,Defender,11M,46K,"L. Dunk, CB"
1656,L. Fabianski,34,Poland,West Ham United,82,82,€9.5M,€75K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,9.5M,75K,"L. Fabianski, GK"
1657,L. Fontanesi,23,Italy,Sassuolo,58,67,€180K,€6K,RB,2020,63,34,38,39,61,62,Serie A,Italy,Defender,180K,6K,"L. Fontanesi, RB"
1658,L. Foster,18,South Africa,AS Monaco,65,83,€1.1M,€4K,ST,2023,73,65,51,64,34,61,Ligue 1,France,Forward,1.1M,4K,"L. Foster, ST"
1659,L. Freeman,27,England,Sheffield United,73,74,€4.6M,€27K,CAM,2022,75,67,72,75,52,60,Premier League,UK,Midfielder,4.6M,27K,"L. Freeman, CAM"
1660,L. Gagliano,18,Italy,Cagliari,58,72,€260K,€2K,ST,2021,43,60,44,57,30,49,Serie A,Italy,Forward,260K,2K,"L. Gagliano, ST"
1661,L. García,21,Colombia,Sevilla FC,63,72,€450K,€2K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,450K,2K,"L. García, GK"
1662,L. Gonzalez,19,Switzerland,Manchester City,61,77,€550K,€10K,ST,2020,82,60,53,61,29,62,Premier League,UK,Forward,550K,10K,"L. Gonzalez, ST"
1663,L. Goretzka,24,Germany,FC Bayern Munchen,84,88,€40M,€120K,CM,2022,81,77,80,81,75,79,Bundesliga,Germany,Midfielder,40M,120K,"L. Goretzka, CM"
1664,L. Grant,36,England,Manchester United,72,72,€525K,€30K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,525K,30K,"L. Grant, GK"
1665,L. Henderson,23,Scotland,Hellas Verona,70,77,€2.5M,€8K,CM,2022,62,59,68,69,54,76,Serie A,Italy,Midfielder,2.5M,8K,"L. Henderson, CM"
1666,L. Hernández,23,France,FC Bayern Munchen,84,89,€37.5M,€110K,CB,2024,81,54,70,71,83,82,Bundesliga,Germany,Defender,37.5M,110K,"L. Hernández, CB"
1667,L. Holer,24,Germany,SC Freiburg,72,75,€4M,€17K,ST,2022,68,71,51,65,34,74,Bundesliga,Germany,Forward,4M,17K,"L. Holer, ST"
1668,L. Hrádecký,29,Finland,Bayer 04 Leverkusen,83,83,€18.5M,€67K,GK,2023,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,18.5M,67K,"L. Hrádecký, GK"
1669,L. Ihorst,19,Germany,SV Werder Bremen,58,72,€280K,€3K,ST,2021,54,57,37,51,21,62,Bundesliga,Germany,Forward,280K,3K,"L. Ihorst, ST"
1670,L. Insigne,28,Italy,Napoli,87,87,€52M,€140K,CF,2022,89,79,85,91,35,47,Serie A,Italy,Forward,52M,140K,"L. Insigne, CF"
1671,L. Itter,20,Germany,SC Freiburg,67,83,€1.6M,€5K,LB,2022,69,44,63,68,66,61,Bundesliga,Germany,Defender,1.6M,5K,"L. Itter, LB"
1672,L. Jans,26,Luxembourg,SC Paderborn 07,69,70,€1.1M,€10K,RB,2020,70,49,66,68,66,68,Bundesliga,Germany,Defender,1.1M,10K,"L. Jans, RB"
1673,L. Jovic,21,Serbia,Real Madrid,83,89,€36.5M,€155K,ST,2024,77,82,68,81,29,74,La Liga,Spain,Forward,36.5M,155K,"L. Jovic, ST"
1674,L. Júnior,28,Ivory Coast,RCD Mallorca,75,75,€6.5M,€25K,LM,2021,88,71,63,76,34,73,La Liga,Spain,Midfielder,6.5M,25K,"L. Júnior, LM"
1675,L. Kalinic,29,Croatia,Aston Villa,75,77,€5.5M,€38K,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,5.5M,38K,"L. Kalinic, GK"
1676,L. Kasten,18,Germany,VfL Wolfsburg,58,78,€220K,€1K,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,220K,1K,"L. Kasten, GK"
1677,L. Kelly,20,England,Bournemouth,68,84,€1.8M,€14K,LB,2023,77,35,58,67,65,71,Premier League,UK,Defender,1.8M,14K,"L. Kelly, LB"
1678,L. Kilian,19,Germany,SC Paderborn 07,66,76,€925K,€3K,CB,2021,64,37,54,49,64,71,Bundesliga,Germany,Defender,925K,3K,"L. Kilian, CB"
1679,L. Klostermann,23,Germany,RB Leipzig,79,85,€15.5M,€43K,RB,2021,85,50,63,71,79,75,Bundesliga,Germany,Defender,15.5M,43K,"L. Klostermann, RB"
1680,L. Klunter,23,Germany,Hertha BSC,70,77,€2.2M,€11K,RB,2022,87,48,56,67,67,65,Bundesliga,Germany,Defender,2.2M,11K,"L. Klunter, RB"
1681,L. Kone,30,Ivory Coast,RC Strasbourg Alsace,75,75,€5.5M,€24K,CB,2021,56,38,50,56,74,79,Ligue 1,France,Defender,5.5M,24K,"L. Kone, CB"
1682,L. Koscielny,33,France,FC Girondins de Bordeaux,81,81,€8.5M,€39K,CB,2023,60,43,63,64,82,74,Ligue 1,France,Defender,8.5M,39K,"L. Koscielny, CB"
1683,L. Krejcí,26,Czech Republic,Bologna,74,74,€6M,€29K,LW,2020,78,68,75,76,50,57,Serie A,Italy,Forward,6M,29K,"L. Krejcí, LW"
1684,L. Kubler,26,Germany,SC Freiburg,71,72,€2.4M,€14K,RB,2020,67,47,57,62,72,67,Bundesliga,Germany,Defender,2.4M,14K,"L. Kubler, RB"
1685,L. Kurzawa,26,France,Paris Saint-Germain,77,78,€9M,€61K,LB,2020,73,68,75,77,74,73,Ligue 1,France,Defender,9M,61K,"L. Kurzawa, LB"
1686,L. Lacroix,27,Switzerland,AS Saint-etienne,70,71,€1.8M,€15K,CB,2020,34,45,59,52,70,78,Ligue 1,France,Defender,1.8M,15K,"L. Lacroix, CB"
1687,L. Lerager,25,Denmark,Genoa,75,78,€8M,€16K,CM,2024,61,67,69,69,70,74,Serie A,Italy,Midfielder,8M,16K,"L. Lerager, CM"
1688,L. Maloney,19,Germany,1. FC Union Berlin,57,73,€210K,€3K,CB,2021,60,44,54,58,51,67,Bundesliga,Germany,Defender,210K,3K,"L. Maloney, CB"
1689,L. Marrone,29,Italy,Hellas Verona,71,71,€2M,€11K,CB,2021,53,59,71,71,70,71,Serie A,Italy,Defender,2M,11K,"L. Marrone, CB"
1690,L. Martínez,21,Argentina,Inter,81,89,€27M,€61K,ST,2023,81,77,68,82,40,83,Serie A,Italy,Forward,27M,61K,"L. Martínez, ST"
1691,L. Mazzitelli,23,Italy,Sassuolo,72,77,€4.1M,€28K,CM,2023,57,55,71,71,64,63,Serie A,Italy,Midfielder,4.1M,28K,"L. Mazzitelli, CM"
1692,L. Mbe Soh,18,France,Paris Saint-Germain,67,83,€1.5M,€5K,CB,2021,63,29,50,48,66,69,Ligue 1,France,Defender,1.5M,5K,"L. Mbe Soh, CB"
1693,L. Messi,32,Argentina,FC Barcelona,94,94,€95.5M,€565K,RW,2021,87,92,92,96,39,66,La Liga,Spain,Forward,95.5M,565K,"L. Messi, RW"
1694,L. Milivojevic,28,Serbia,Crystal Palace,81,82,€17.5M,€66K,CDM,2023,55,67,76,67,78,84,Premier League,UK,Midfielder,17.5M,66K,"L. Milivojevic, CDM"
1695,L. Modric,33,Croatia,Real Madrid,90,90,€45M,€340K,CM,2020,74,76,89,89,72,66,La Liga,Spain,Midfielder,45M,340K,"L. Modric, CM"
1696,L. Morosini,23,Italy,Brescia,69,75,€1.4M,€6K,CAM,2022,78,59,67,71,30,60,Serie A,Italy,Midfielder,1.4M,6K,"L. Morosini, CAM"
1697,L. Mothiba,23,South Africa,RC Strasbourg Alsace,74,83,€9M,€23K,ST,2023,71,74,60,71,27,69,Ligue 1,France,Forward,9M,23K,"L. Mothiba, ST"
1698,L. Mousset,23,France,Sheffield United,71,76,€3.2M,€20K,ST,2022,77,70,53,72,25,61,Premier League,UK,Forward,3.2M,20K,"L. Mousset, ST"
1699,L. Muriel,28,Colombia,Atalanta,80,80,€15.5M,€69K,ST,2024,88,76,68,84,27,68,Serie A,Italy,Forward,15.5M,69K,"L. Muriel, ST"
1700,L. Nmecha,20,Germany,VfL Wolfsburg,67,83,€1.7M,€11K,ST,2021,79,63,50,66,28,69,Bundesliga,Germany,Forward,1.7M,11K,"L. Nmecha, ST"
1701,L. Ntumba,18,France,Dijon FCO,58,78,€220K,€1K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,220K,1K,"L. Ntumba, GK"
1702,L. Ocampos,24,Argentina,Sevilla FC,77,80,€11.5M,€16K,LM,2024,83,73,72,75,61,84,La Liga,Spain,Midfielder,11.5M,16K,"L. Ocampos, LM"
1703,L. Olaza,24,Uruguay,RC Celta,75,80,€8M,€17K,LB,2020,79,71,72,74,71,70,La Liga,Spain,Defender,8M,17K,"L. Olaza, LB"
1704,L. Öztunali,23,Germany,1. FSV Mainz 05,73,78,€5.5M,€19K,RM,2021,82,67,68,77,47,68,Bundesliga,Germany,Midfielder,5.5M,19K,"L. Öztunali, RM"
1705,L. Paredes,25,Argentina,Paris Saint-Germain,80,84,€19M,€79K,CM,2023,71,67,81,79,72,74,Ligue 1,France,Midfielder,19M,79K,"L. Paredes, CM"
1706,L. Pavoletti,30,Italy,Cagliari,78,78,€10M,€38K,ST,2022,60,76,51,68,37,78,Serie A,Italy,Forward,10M,38K,"L. Pavoletti, ST"
1707,L. Pellegrini,23,Italy,Roma,79,87,€18.5M,€41K,CM,2022,74,68,79,76,72,69,Serie A,Italy,Midfielder,18.5M,41K,"L. Pellegrini, CM"
1708,L. Pellegrini,20,Italy,Juventus,69,83,€2.1M,€24K,LB,2023,76,35,58,67,65,56,Serie A,Italy,Defender,2.1M,24K,"L. Pellegrini, LB"
1709,L. Pelletier,19,France,RC Strasbourg Alsace,53,68,€110K,€1K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,110K,1K,"L. Pelletier, GK"
1710,L. Perrin,33,France,AS Saint-etienne,80,80,€7M,€37K,CB,2020,52,58,69,66,81,76,Ligue 1,France,Defender,7M,37K,"L. Perrin, CB"
1711,L. Perrin,20,France,Olympique de Marseille,61,76,€525K,€4K,CB,2021,55,28,43,43,60,67,Ligue 1,France,Defender,525K,4K,"L. Perrin, CB"
1712,L. Piszczek,34,Poland,Borussia Dortmund,81,81,€6M,€76K,RB,2020,77,68,75,73,82,78,Bundesliga,Germany,Defender,6M,76K,"L. Piszczek, RB"
