,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages
1539,S. Andersson,27,Sweden,1. FC Union Berlin,73,73,4300000,32000,ST,2020,65,69,49,65,25,75,Bundesliga,Germany,Forward,4.3M,32K
1540,O. Niasse,29,Senegal,Everton,73,73,4.00E+06,60000,ST,2020,73,72,55,72,29,69,Premier League,UK,Forward,4M,60K
1541,V. Laurini,30,France,Parma,73,73,3200000,29000,RB,2022,75,33,60,68,72,68,Serie A,Italy,Defender,3.2M,29K
1542,A. Maxim,28,Romania,1. FSV Mainz 05,73,73,4.00E+06,22000,CAM,2021,69,67,71,78,32,53,Bundesliga,Germany,Midfielder,4M,22K
1543,J. Gondorf,31,Germany,SC Freiburg,73,73,3400000,20000,CM,2021,65,63,73,72,67,78,Bundesliga,Germany,Midfielder,3.4M,20K
1544,Puertas,27,Spain,Granada CF,73,73,4200000,17000,LM,2020,78,71,65,74,40,67,La Liga,Spain,Midfielder,4.2M,17K
1545,S. Mendoza,27,Colombia,Amiens SC,73,73,4200000,16000,LM,2021,90,67,64,78,29,65,Ligue 1,France,Midfielder,4.2M,16K
1546,A. Di Gaudio,29,Italy,Hellas Verona,73,73,3900000,16000,LW,2021,89,60,65,80,31,46,Serie A,Italy,Forward,3.9M,16K
1547,Andrei Girotto,27,Brazil,FC Nantes,73,73,3700000,19000,CDM,2021,59,66,66,68,74,71,Ligue 1,France,Midfielder,3.7M,19K
1548,B. Dibassy,29,Mali,Amiens SC,73,73,3300000,15000,LB,2021,74,54,61,70,72,76,Ligue 1,France,Defender,3.3M,15K
1549,D. Liénard,31,France,RC Strasbourg Alsace,73,73,3400000,23000,CM,2021,63,72,77,71,56,67,Ligue 1,France,Midfielder,3.4M,23K
1550,J. Dilrosun,21,Netherlands,Hertha BSC,72,86,7.00E+06,14000,LM,2022,89,63,61,76,44,52,Bundesliga,Germany,Midfielder,7M,14K
1551,B. Soumaré,20,France,LOSC Lille,72,86,7.00E+06,18000,CM,2022,69,56,67,74,67,71,Ligue 1,France,Midfielder,7M,18K
1552,R. Nelson,19,England,Arsenal,72,85,6.00E+06,31000,RW,2022,88,65,60,79,34,47,Premier League,UK,Forward,6M,31K
1553,D. Lainez,19,Mexico,Real Betis,72,85,6.00E+06,9000,RM,2024,84,63,64,79,47,53,La Liga,Spain,Midfielder,6M,9K
1554,M. Aarons,19,England,Norwich City,72,85,5500000,15000,RB,2024,83,41,60,73,70,64,Premier League,UK,Defender,5.5M,15K
1555,D. James,21,Wales,Manchester United,72,84,5500000,46000,LM,2024,94,61,63,73,27,57,Premier League,UK,Midfielder,5.5M,46K
1556,S. Longstaff,21,England,Newcastle United,72,84,5500000,20000,CM,2022,63,65,68,67,60,60,Premier League,UK,Midfielder,5.5M,20K
1557,A. Bastoni,20,Italy,Inter,72,84,5.00E+06,24000,CB,2023,51,33,43,42,76,66,Serie A,Italy,Defender,5M,24K
1558,J. Lewis,21,Northern Ireland,Norwich City,72,83,4900000,21000,LB,2023,79,51,60,70,70,66,Premier League,UK,Defender,4.9M,21K
1559,F. Tomori,21,England,Chelsea,72,83,4900000,38000,CB,2021,80,35,55,65,71,71,Premier League,UK,Defender,4.9M,38K
1560,A. Caci,22,France,RC Strasbourg Alsace,72,83,4900000,16000,CB,2022,73,48,65,67,72,70,Ligue 1,France,Defender,4.9M,16K
1561,J. Torunarigha,21,Germany,Hertha BSC,72,83,4900000,12000,CB,2020,74,33,53,61,73,72,Bundesliga,Germany,Defender,4.9M,12K
1562,S. Zurkowski,21,Poland,Fiorentina,72,83,5500000,24000,CM,2023,81,62,67,69,70,81,Serie A,Italy,Midfielder,5.5M,24K
1563,A. Olsen,19,Denmark,Bologna,72,83,5.00E+06,14000,RW,2024,84,72,63,73,35,68,Serie A,Italy,Forward,5M,14K
1564,C. Dagba,20,France,Paris Saint-Germain,72,83,4900000,29000,RB,2023,83,50,68,77,68,57,Ligue 1,France,Defender,4.9M,29K
1565,T. Balu<U+021B>a,20,Romania,Brighton & Hove Albion,72,83,5.00E+06,21000,CDM,2022,62,50,58,50,69,75,Premier League,UK,Midfielder,5M,21K
1566,Aihen Muñoz,21,Spain,Real Sociedad,72,83,4900000,12000,LB,2022,75,53,66,71,72,65,La Liga,Spain,Defender,4.9M,12K
1567,S. Scuffet,23,Italy,Udinese,72,82,3900000,8000,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,3.9M,8K
1568,S. Luperto,22,Italy,Napoli,72,82,4600000,29000,CB,2023,51,55,60,59,74,70,Serie A,Italy,Defender,4.6M,29K
1569,J. Boga,22,Ivory Coast,Sassuolo,72,82,5.00E+06,28000,LM,2022,78,69,66,77,37,61,Serie A,Italy,Midfielder,5M,28K
1570,Jorge Sáenz,22,Spain,RC Celta,72,82,4600000,13000,CB,2021,66,42,62,63,71,77,La Liga,Spain,Defender,4.6M,13K
1571,Léo Duarte,22,Brazil,Milan,72,82,4600000,19000,CB,2024,57,35,36,53,74,74,Serie A,Italy,Defender,4.6M,19K
1572,F. Ballo-Touré,22,France,AS Monaco,72,82,4500000,19000,LB,2023,82,46,69,71,68,67,Ligue 1,France,Defender,4.5M,19K
1573,Manu Morlanes,20,Spain,Villarreal CF,72,82,5.00E+06,15000,CM,2023,66,62,72,72,60,62,La Liga,Spain,Midfielder,5M,15K
1574,M. Targett,23,England,Aston Villa,72,81,4300000,28000,LB,2023,72,42,69,70,70,64,Premier League,UK,Defender,4.3M,28K
1575,F. Ayé,22,France,Brescia,72,81,4900000,10000,ST,2022,84,70,52,69,24,74,Serie A,Italy,Forward,4.9M,10K
1576,Ronaldo Vieira,20,England,Sampdoria,72,81,4500000,15000,CDM,2023,76,58,66,72,68,78,Serie A,Italy,Midfielder,4.5M,15K
1577,S. Vasiliadis,21,Germany,SC Paderborn 07,72,81,4800000,13000,CM,2020,74,59,68,72,63,71,Bundesliga,Germany,Midfielder,4.8M,13K
1578,A. Cerri,23,Italy,Cagliari,72,80,4600000,21000,ST,2023,59,72,54,68,39,75,Serie A,Italy,Forward,4.6M,21K
1579,S. Guirassy,23,France,Amiens SC,72,80,4600000,13000,ST,2022,71,68,59,73,36,71,Ligue 1,France,Forward,4.6M,13K
1580,E. Fernandes,23,Switzerland,1. FSV Mainz 05,72,80,4500000,17000,CM,2023,72,67,67,71,60,72,Bundesliga,Germany,Midfielder,4.5M,17K
1581,S. Posch,22,Austria,TSG 1899 Hoffenheim,72,80,4200000,18000,CB,2023,59,29,43,38,75,68,Bundesliga,Germany,Defender,4.2M,18K
1582,Léo Jardim,24,Brazil,LOSC Lille,72,80,3500000,15000,GK,2024,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,3.5M,15K
1583,M. Fares,23,Algeria,SPAL,72,80,4600000,10000,LM,2024,78,62,66,75,65,69,Serie A,Italy,Midfielder,4.6M,10K
1584,A. Peñaranda,22,Venezuela,Watford,72,80,4600000,38000,ST,2023,75,69,67,77,36,59,Premier League,UK,Forward,4.6M,38K
1585,M. Maolida,20,France,OGC Nice,72,80,4600000,18000,LW,2023,83,67,62,76,24,56,Ligue 1,France,Forward,4.6M,18K
1586,E. Rexhbeçaj,21,Kosovo,VfL Wolfsburg,72,80,4600000,21000,CM,2023,66,58,70,72,64,65,Bundesliga,Germany,Midfielder,4.6M,21K
1587,Brandon Thomas,24,Spain,CA Osasuna,72,79,4400000,20000,ST,2022,77,73,62,76,32,61,La Liga,Spain,Forward,4.4M,20K
1588,F. Vicari,24,Italy,SPAL,72,79,3900000,9000,CB,2022,34,27,49,45,74,69,Serie A,Italy,Defender,3.9M,9K
1589,C. Gruezo,24,Ecuador,FC Augsburg,72,79,4.00E+06,14000,CDM,2024,59,46,62,66,69,76,Bundesliga,Germany,Midfielder,4M,14K
1590,A. Leya Iseka,21,Belgium,Toulouse Football Club,72,79,4500000,16000,ST,2022,84,73,61,71,27,72,Ligue 1,France,Forward,4.5M,16K
1591,A. Calabresi,23,Italy,Bologna,72,79,3900000,17000,CB,2022,59,30,48,54,73,71,Serie A,Italy,Defender,3.9M,17K
1592,E. Kwateng,22,France,FC Girondins de Bordeaux,72,79,3900000,17000,RB,2023,67,36,63,68,73,63,Ligue 1,France,Defender,3.9M,17K
1593,R. Sallai,22,Hungary,SC Freiburg,72,79,4400000,15000,LM,2022,74,67,67,74,37,58,Bundesliga,Germany,Midfielder,4.4M,15K
1594,J. Schouten,22,Netherlands,Bologna,72,79,4.00E+06,17000,CDM,2024,67,55,65,73,70,66,Serie A,Italy,Midfielder,4M,17K
1595,Marc Cardona,23,Spain,CA Osasuna,72,79,4400000,20000,ST,2023,75,70,58,72,26,56,La Liga,Spain,Forward,4.4M,20K
1596,J. Léa Siliki,23,France,Stade Rennais FC,72,79,4300000,23000,CM,2021,71,69,71,74,68,67,Ligue 1,France,Midfielder,4.3M,23K
1597,Nacho Vidal,24,Spain,CA Osasuna,72,79,3900000,16000,RB,2022,76,55,67,69,67,66,La Liga,Spain,Defender,3.9M,16K
1598,D. Vavro,23,Slovakia,Lazio,72,79,3900000,23000,CB,2024,68,49,51,56,70,79,Serie A,Italy,Defender,3.9M,23K
1599,M. Suárez,23,Uruguay,Montpellier HSC,72,79,3900000,17000,RWB,2023,77,42,60,60,73,76,Ligue 1,France,Defender,3.9M,17K
1600,E. Koulouris,23,Greece,Toulouse Football Club,72,78,4300000,19000,ST,2023,69,71,53,67,27,60,Ligue 1,France,Forward,4.3M,19K
1601,J. Otero,24,Colombia,Amiens SC,72,78,4300000,12000,RM,2021,90,76,65,70,31,69,Ligue 1,France,Midfielder,4.3M,12K
1602,A. Murgia,22,Italy,SPAL,72,78,4200000,10000,CM,2024,48,64,68,69,69,59,Serie A,Italy,Midfielder,4.2M,10K
1603,Domingos Duarte,24,Portugal,Granada CF,72,78,3800000,12000,CB,2023,45,35,46,51,73,77,La Liga,Spain,Defender,3.8M,12K
1604,B. Srarfi,22,Tunisia,OGC Nice,72,78,4300000,21000,RW,2021,78,67,69,77,32,49,Ligue 1,France,Forward,4.3M,21K
1605,C. Doukouré,26,Ivory Coast,Levante UD,72,77,3700000,15000,CDM,2021,68,62,65,67,72,76,La Liga,Spain,Midfielder,3.7M,15K
1606,B. Osborn,24,England,Sheffield United,72,77,3700000,19000,LWB,2022,76,64,70,72,64,60,Premier League,UK,Defender,3.7M,19K
1607,C. Jean,23,France,Toulouse Football Club,72,77,4200000,17000,RM,2021,80,68,68,75,31,54,Ligue 1,France,Midfielder,4.2M,17K
1608,D. Sinkgraven,23,Netherlands,Bayer 04 Leverkusen,72,77,3700000,28000,LB,2023,79,59,74,79,66,62,Bundesliga,Germany,Defender,3.7M,28K
1609,D. Ndong,25,Gabon,Dijon FCO,72,77,3700000,10000,CDM,2023,69,60,63,71,69,76,Ligue 1,France,Midfielder,3.7M,10K
1610,S. Perica,23,Croatia,Udinese,72,77,4200000,12000,ST,2022,66,69,49,65,27,70,Serie A,Italy,Forward,4.2M,12K
1611,David Costas,24,Spain,RC Celta,72,77,3700000,13000,CB,2022,64,43,64,65,72,65,La Liga,Spain,Defender,3.7M,13K
1612,F. Mattiello,23,Italy,Cagliari,72,77,4200000,19000,RM,2020,75,64,71,74,69,65,Serie A,Italy,Midfielder,4.2M,19K
1613,L. Mazzitelli,23,Italy,Sassuolo,72,77,4100000,28000,CM,2023,57,55,71,71,64,63,Serie A,Italy,Midfielder,4.1M,28K
1614,C. Akolo,24,DR Congo,Amiens SC,72,77,4200000,12000,RM,2020,81,68,63,78,26,61,Ligue 1,France,Midfielder,4.2M,12K
1615,M. Gakpa,25,France,FC Metz,72,77,4100000,13000,CM,2023,79,63,71,75,50,62,Ligue 1,France,Midfielder,4.1M,13K
1616,Jandrei,26,Brazil,Genoa,72,77,3.00E+06,9000,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,3M,9K
1617,G. Fernández,25,Uruguay,RC Celta,72,77,4200000,17000,ST,2024,66,71,59,67,52,78,La Liga,Spain,Forward,4.2M,17K
1618,Iván López,25,Spain,Levante UD,72,76,3500000,14000,RB,2020,73,57,68,71,71,66,La Liga,Spain,Defender,3.5M,14K
1619,C. Benavente,25,Peru,FC Nantes,72,76,4.00E+06,17000,CAM,2022,73,69,68,74,34,45,Ligue 1,France,Midfielder,4M,17K
1620,R. Azeez,26,Nigeria,Granada CF,72,76,3600000,14000,CDM,2022,68,57,65,67,68,70,La Liga,Spain,Midfielder,3.6M,14K
1621,S. Moreira,24,France,Toulouse Football Club,72,76,3600000,16000,RB,2021,68,32,67,65,71,67,Ligue 1,France,Defender,3.6M,16K
1622,S. Schonlau,24,Germany,SC Paderborn 07,72,76,3600000,14000,CB,2021,66,36,52,56,72,72,Bundesliga,Germany,Defender,3.6M,14K
1623,S. Khaoui,24,Tunisia,Olympique de Marseille,72,76,4100000,20000,CAM,2021,72,64,73,74,38,54,Ligue 1,France,Midfielder,4.1M,20K
1624,A. Mendy,25,France,FC Girondins de Bordeaux,72,76,4100000,23000,ST,2021,71,73,51,64,24,79,Ligue 1,France,Forward,4.1M,23K
1625,M. Bani,25,Italy,Bologna,72,76,3600000,19000,CB,2023,60,18,38,52,73,72,Serie A,Italy,Defender,3.6M,19K
1626,M. Bešic,26,Bosnia Herzegovina,Sheffield United,72,75,3800000,24000,CM,2020,63,54,67,74,70,74,Premier League,UK,Midfielder,3.8M,24K
1627,S. Byram,25,England,Norwich City,72,75,3400000,27000,RB,2023,71,60,66,72,70,68,Premier League,UK,Defender,3.4M,27K
1628,O. Nguette,24,Senegal,FC Metz,72,75,3900000,13000,LW,2022,85,63,64,75,41,60,Ligue 1,France,Forward,3.9M,13K
1629,M. Flekken,26,Netherlands,SC Freiburg,72,75,2800000,13000,GK,2022,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,2.8M,13K
1630,J. Toljan,24,Germany,Sassuolo,72,75,3500000,26000,RB,2020,87,42,62,70,66,68,Serie A,Italy,Defender,3.5M,26K
1631,C. Falletti,26,Uruguay,Bologna,72,75,3900000,22000,CAM,2021,81,64,69,78,33,61,Serie A,Italy,Midfielder,3.9M,22K
1632,Alex Alegría,26,Spain,RCD Mallorca,72,75,3900000,19000,ST,2024,50,71,56,70,33,71,La Liga,Spain,Forward,3.9M,19K
1633,Léo Bonatini,25,Brazil,Wolverhampton Wanderers,72,75,4.00E+06,49000,ST,2022,68,70,67,71,35,71,Premier League,UK,Forward,4M,49K
1634,J. Riedewald,22,Netherlands,Crystal Palace,72,75,3500000,27000,CB,2022,64,51,68,68,72,66,Premier League,UK,Defender,3.5M,27K
1635,M. Doumbia,24,Mali,Stade de Reims,72,75,3900000,17000,LM,2022,83,68,66,75,36,60,Ligue 1,France,Midfielder,3.9M,17K
1636,L. Höler,24,Germany,SC Freiburg,72,75,4.00E+06,17000,ST,2022,68,71,51,65,34,74,Bundesliga,Germany,Forward,4M,17K
1637,A. Sedlar,27,Serbia,RCD Mallorca,72,75,3400000,16000,CB,2023,57,40,49,47,71,78,La Liga,Spain,Defender,3.4M,16K
1638,C. Antwi-Adjej,25,Germany,SC Paderborn 07,72,75,3900000,17000,LM,2021,86,60,61,77,26,55,Bundesliga,Germany,Midfielder,3.9M,17K
1639,C. Zimmermann,26,Germany,Norwich City,72,75,3400000,29000,CB,2023,53,33,43,44,72,78,Premier League,UK,Defender,3.4M,29K
1640,J. El Yamiq,27,Morocco,Genoa,72,75,3400000,11000,CB,2021,67,41,48,58,72,71,Serie A,Italy,Defender,3.4M,11K
1641,M. Hector,26,Jamaica,Chelsea,72,74,3300000,53000,CB,2020,64,47,51,59,71,76,Premier League,UK,Defender,3.3M,53K
1642,Lucas Piazon,25,Brazil,Chelsea,72,74,3800000,61000,RW,2020,65,72,72,73,34,53,Premier League,UK,Forward,3.8M,61K
1643,K. Sema,25,Sweden,Watford,72,74,3800000,38000,LM,2023,78,66,69,75,42,68,Premier League,UK,Midfielder,3.8M,38K
1644,Sergio Herrera,26,Spain,CA Osasuna,72,74,2700000,15000,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,2.7M,15K
1645,R. Žulj,27,Austria,TSG 1899 Hoffenheim,72,73,3600000,23000,CAM,2020,53,72,71,73,35,68,Bundesliga,Germany,Midfielder,3.6M,23K
1646,R. Matos,26,Brazil,Udinese,72,73,3700000,14000,RW,2020,76,67,63,78,35,68,Serie A,Italy,Forward,3.7M,14K
1647,K. McLean,27,Scotland,Norwich City,72,73,3500000,31000,CM,2022,74,69,68,73,60,70,Premier League,UK,Midfielder,3.5M,31K
1648,M. Wagué,28,Mali,FC Nantes,72,73,3.00E+06,17000,CB,2022,54,33,42,44,72,81,Ligue 1,France,Defender,3M,17K
1649,J. Marié,27,France,Dijon FCO,72,73,3500000,11000,CM,2020,57,56,66,72,66,67,Ligue 1,France,Midfielder,3.5M,11K
1650,Rober Ibáñez,26,Spain,CA Osasuna,72,73,3700000,21000,RM,2023,77,67,71,74,48,52,La Liga,Spain,Midfielder,3.7M,21K
1651,L. Grant,36,England,Manchester United,72,72,525000,30000,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,525K,30K
1652,G. Pazzini,34,Italy,Hellas Verona,72,72,1600000,14000,ST,2020,56,68,56,69,34,65,Serie A,Italy,Forward,1.6M,14K
1653,C. Jallet,35,France,Amiens SC,72,72,875000,9000,RB,2020,55,59,73,72,73,68,Ligue 1,France,Defender,875K,9K
1654,E. Barreto,34,Paraguay,Sampdoria,72,72,1500000,23000,CM,2020,59,66,72,68,73,67,Serie A,Italy,Midfielder,1.5M,23K
1655,S. Carson,33,England,Manchester City,72,72,1700000,49000,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,1.7M,49K
1656,K. Reichel,32,Germany,1. FC Union Berlin,72,72,1900000,24000,LB,2020,68,68,66,67,71,75,Bundesliga,Germany,Defender,1.9M,24K
1657,P. Bardsley,34,Scotland,Burnley,72,72,1100000,22000,RB,2020,51,58,66,68,75,72,Premier League,UK,Defender,1.1M,22K
1658,C. Théréau,36,France,Fiorentina,72,72,1.00E+06,27000,LW,2020,56,76,71,73,37,65,Serie A,Italy,Forward,1M,27K
1659,S. Floccari,37,Italy,SPAL,72,72,1100000,9000,ST,2020,59,73,61,71,27,58,Serie A,Italy,Forward,1.1M,9K
1660,F. Ceravolo,32,Italy,Parma,72,72,2500000,30000,ST,2020,74,71,60,74,33,66,Serie A,Italy,Forward,2.5M,30K
1661,A. Ramos,33,Colombia,Granada CF,72,72,2.00E+06,16000,ST,2020,73,70,64,69,46,66,La Liga,Spain,Forward,2M,16K
1662,D. McGoldrick,31,Republic of Ireland,Sheffield United,72,72,2800000,26000,ST,2021,66,71,67,72,33,67,Premier League,UK,Forward,2.8M,26K
1663,C. Beauvue,31,France,RC Celta,72,72,2800000,17000,ST,2021,65,72,65,71,40,58,La Liga,Spain,Forward,2.8M,17K
1664,J. Morávek,29,Czech Republic,FC Augsburg,72,72,3.00E+06,18000,CM,2022,46,69,73,74,55,59,Bundesliga,Germany,Midfielder,3M,18K
1665,O. Nyland,28,Norway,Aston Villa,72,72,2300000,28000,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,2.3M,28K
1666,F. Cacciatore,32,Italy,Cagliari,72,72,1900000,20000,RB,2020,68,53,60,63,73,74,Serie A,Italy,Defender,1.9M,20K
1667,A. Budimir,27,Croatia,RCD Mallorca,72,72,3300000,19000,ST,2023,59,73,44,64,34,72,La Liga,Spain,Forward,3.3M,19K
1668,L. Siligardi,31,Italy,Parma,72,72,2700000,30000,RW,2020,75,68,71,77,37,59,Serie A,Italy,Forward,2.7M,30K
1669,Thiago Cionek,33,Poland,SPAL,72,72,1500000,10000,CB,2020,63,26,44,52,72,74,Serie A,Italy,Defender,1.5M,10K
1670,C. Pinsoglio,29,Italy,Juventus,72,72,2200000,44000,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,2.2M,44K
1671,Fábio,28,Brazil,FC Nantes,72,72,2700000,17000,RB,2021,77,56,69,73,71,64,Ligue 1,France,Defender,2.7M,17K
1672,Da Costa,35,Brazil,Bologna,72,72,850000,10000,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,850K,10K
1673,Y. Ravet,29,France,SC Freiburg,72,72,3.00E+06,18000,RM,2020,73,68,72,73,38,59,Bundesliga,Germany,Midfielder,3M,18K
1674,J. Schieber,30,Germany,FC Augsburg,72,72,3.00E+06,19000,ST,2021,58,74,58,64,30,71,Bundesliga,Germany,Forward,3M,19K
1675,M. Frantz,32,Germany,SC Freiburg,72,72,2400000,17000,CM,2020,62,62,72,70,66,77,Bundesliga,Germany,Midfielder,2.4M,17K
1676,R. Krhin,29,Slovenia,FC Nantes,72,72,2700000,17000,CDM,2020,35,52,65,60,72,71,Ligue 1,France,Midfielder,2.7M,17K
1677,A. Luthe,32,Germany,FC Augsburg,72,72,1900000,13000,GK,2022,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,1.9M,13K
1678,D. Falcinelli,28,Italy,Bologna,72,72,3200000,25000,ST,2022,65,70,52,70,23,64,Serie A,Italy,Forward,3.2M,25K
1679,C. Trimmel,32,Austria,1. FC Union Berlin,72,72,1900000,24000,RB,2020,73,59,67,67,68,79,Bundesliga,Germany,Defender,1.9M,24K
1680,M. Schmiedebach,30,Germany,1. FC Union Berlin,72,72,2600000,24000,CDM,2020,64,47,67,70,70,71,Bundesliga,Germany,Midfielder,2.6M,24K
1681,F. Wiedwald,29,Germany,Eintracht Frankfurt,72,72,2200000,18000,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,2.2M,18K
1682,A. Ragusa,29,Italy,Hellas Verona,72,72,3.00E+06,14000,LW,2021,86,67,66,75,44,64,Serie A,Italy,Forward,3M,14K
1683,Dani Rodríguez,31,Spain,RCD Mallorca,72,72,2700000,18000,CM,2021,66,71,69,72,63,63,La Liga,Spain,Midfielder,2.7M,18K
1684,Ji Dong Won,28,Korea Republic,1. FSV Mainz 05,72,72,3200000,22000,CF,2022,67,70,63,73,43,71,Bundesliga,Germany,Forward,3.2M,22K
1685,W. Lautoa,31,New Caledonia,Dijon FCO,72,72,2300000,10000,CB,2020,56,36,54,43,70,76,Ligue 1,France,Defender,2.3M,10K
1686,N. Höfler,29,Germany,SC Freiburg,72,72,2700000,17000,CDM,2021,53,47,65,66,70,71,Bundesliga,Germany,Midfielder,2.7M,17K
1687,L. Carole,28,France,RC Strasbourg Alsace,72,72,2700000,19000,LWB,2021,76,40,64,73,72,71,Ligue 1,France,Defender,2.7M,19K
1688,M. Le Bihan,29,France,OGC Nice,72,72,3100000,24000,ST,2020,56,71,58,70,48,70,Ligue 1,France,Forward,3.1M,24K
1689,F. Chafik,32,Morocco,Dijon FCO,72,72,1900000,10000,RB,2020,67,52,58,69,71,74,Ligue 1,France,Defender,1.9M,10K
1690,Júlio Tavares,30,Cape Verde,Dijon FCO,72,72,3.00E+06,12000,ST,2021,54,70,52,67,29,71,Ligue 1,France,Forward,3M,12K
1691,S. Michel,28,Germany,SC Paderborn 07,72,72,3200000,20000,ST,2021,78,72,62,70,27,71,Bundesliga,Germany,Forward,3.2M,20K
1692,Jonathan Cafú,27,Brazil,FC Girondins de Bordeaux,72,72,3300000,23000,RW,2021,77,66,65,76,24,46,Ligue 1,France,Forward,3.3M,23K
1693,Riqui Puig,19,Spain,FC Barcelona,71,87,5.00E+06,39000,CM,2021,65,57,73,76,54,46,La Liga,Spain,Midfielder,5M,39K
1694,G. Maroni,20,Argentina,Sampdoria,71,86,5.00E+06,15000,CAM,2022,78,54,67,77,43,58,Serie A,Italy,Midfielder,5M,15K
1695,Paulinho,18,Brazil,Bayer 04 Leverkusen,71,86,4900000,11000,RM,2023,79,61,66,75,34,67,Bundesliga,Germany,Midfielder,4.9M,11K
1696,J. Todibo,19,France,FC Barcelona,71,86,4800000,33000,CB,2023,69,43,58,63,67,76,La Liga,Spain,Defender,4.8M,33K
1697,I. Sissoko,21,France,RC Strasbourg Alsace,71,84,4500000,13000,CM,2022,51,51,64,64,69,82,Ligue 1,France,Midfielder,4.5M,13K
1698,E. Elmas,19,FYR Macedonia,Napoli,71,84,4400000,18000,CM,2024,66,68,69,73,57,67,Serie A,Italy,Midfielder,4.4M,18K
1699,G. Pezzella,21,Italy,Udinese,71,83,3900000,7000,LB,2022,77,52,64,71,67,75,Serie A,Italy,Defender,3.9M,7K
1700,Emerson,20,Brazil,Real Betis,71,83,3900000,9000,RB,2021,82,56,61,67,67,73,La Liga,Spain,Defender,3.9M,9K
1701,B. Godfrey,21,England,Norwich City,71,82,3800000,18000,CB,2023,74,44,58,64,68,77,Premier League,UK,Defender,3.8M,18K
1702,Lluis López,22,Spain,RCD Espanyol,71,82,3700000,13000,CB,2022,60,30,50,57,71,65,La Liga,Spain,Defender,3.7M,13K
1703,M. Wagué,20,Senegal,FC Barcelona,71,82,3700000,45000,RB,2023,80,40,61,73,67,65,La Liga,Spain,Defender,3.7M,45K
1704,F. Romagna,22,Italy,Cagliari,71,81,3500000,15000,CB,2022,63,32,51,57,73,63,Serie A,Italy,Defender,3.5M,15K
1705,C. Adjapong,21,Italy,Sassuolo,71,81,3800000,21000,LM,2023,68,51,65,75,71,59,Serie A,Italy,Midfielder,3.8M,21K
1706,I. Ganago,20,Cameroon,OGC Nice,71,81,3900000,16000,ST,2022,78,70,52,69,34,66,Ligue 1,France,Forward,3.9M,16K
1707,V. Angban,22,Ivory Coast,FC Metz,71,80,3600000,11000,CM,2022,60,52,68,71,60,75,Ligue 1,France,Midfielder,3.6M,11K
1708,T. Awoniyi,21,Nigeria,1. FSV Mainz 05,71,80,3700000,14000,ST,2020,79,71,57,65,26,72,Bundesliga,Germany,Forward,3.7M,14K
1709,K. Danso,20,Austria,Southampton,71,80,3400000,20000,CB,2020,61,32,42,52,70,74,Premier League,UK,Defender,3.4M,20K
1710,Bremer,22,Brazil,Torino,71,80,3300000,19000,CB,2023,62,35,48,58,70,69,Serie A,Italy,Defender,3.3M,19K
1711,B. Kapustka,22,Poland,Leicester City,71,79,3500000,36000,LM,2021,76,62,68,72,37,53,Premier League,UK,Midfielder,3.5M,36K
1712,L. Suárez,23,Argentina,Villarreal CF,71,79,3500000,16000,RM,2020,65,68,73,76,23,35,La Liga,Spain,Midfielder,3.5M,16K
1713,S. Abdullahi,22,Nigeria,1. FC Union Berlin,71,79,3500000,22000,RW,2022,84,69,54,72,20,83,Bundesliga,Germany,Forward,3.5M,22K
1714,P. Köpke,23,Germany,Hertha BSC,71,79,3500000,16000,ST,2022,76,70,60,71,35,62,Bundesliga,Germany,Forward,3.5M,16K
1715,Matheus Pereira,21,Brazil,Juventus,71,79,3500000,37000,CAM,2024,75,59,66,78,35,58,Serie A,Italy,Midfielder,3.5M,37K
1716,F. Jensen,21,Finland,FC Augsburg,71,79,3500000,11000,CAM,2023,66,68,66,73,51,70,Bundesliga,Germany,Midfielder,3.5M,11K
1717,K. Bonifazi,23,Italy,Torino,71,79,3200000,19000,CB,2022,54,34,42,52,73,66,Serie A,Italy,Defender,3.2M,19K
1718,J. Chabot,21,Germany,Sampdoria,71,79,3200000,13000,CB,2024,40,27,43,49,70,76,Serie A,Italy,Defender,3.2M,13K
1719,S. Moutoussamy,22,France,FC Nantes,71,79,3400000,14000,CM,2024,74,59,69,75,67,58,Ligue 1,France,Midfielder,3.4M,14K
1720,M. Valjent,23,Slovakia,RCD Mallorca,71,78,3.00E+06,12000,CB,2022,69,36,55,65,71,74,La Liga,Spain,Defender,3M,12K
