,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos,, Value_Euros , Value_Euros1 
1289,J. Guilavogui,28,France,VfL Wolfsburg,80,81,€14.5M,€51K,CDM,2020,59,59,67,65,83,79,Bundesliga,Germany,Midfielder,14.5M,51K,"J. Guilavogui, CDM",,"14,500,000.00",14500000
1290,J. Haberer,25,Germany,SC Freiburg,75,78,€8M,€22K,CM,2020,65,63,71,76,61,70,Bundesliga,Germany,Midfielder,8M,22K,"J. Haberer, CM",,"8,000,000.00",8000000
1291,J. Hart,32,England,Burnley,77,77,€5.5M,€27K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,5.5M,27K,"J. Hart, GK",,"5,500,000.00",5500000
1292,J. Hector,29,Germany,1. FC Koln,79,79,€10.5M,€32K,LB,2023,75,60,75,75,78,75,Bundesliga,Germany,Defender,10.5M,32K,"J. Hector, LB",,"10,500,000.00",10500000
1293,J. Henderson,29,England,Liverpool,83,83,€22M,€115K,CDM,2020,64,70,83,77,78,80,Premier League,UK,Midfielder,22M,115K,"J. Henderson, CDM",,"22,000,000.00",22000000
1294,J. Hendrick,27,Republic of Ireland,Burnley,75,75,€7M,€32K,RM,2020,68,68,74,76,70,75,Premier League,UK,Midfielder,7M,32K,"J. Hendrick, RM",,"7,000,000.00",7000000
1295,J. Hernández,31,Mexico,West Ham United,78,78,€9.5M,€82K,ST,2020,70,77,64,75,31,59,Premier League,UK,Forward,9.5M,82K,"J. Hernández, ST",,"9,500,000.00",9500000
1296,J. Hernández,20,Colombia,Watford,75,82,€9.5M,€44K,ST,2020,86,75,62,72,38,71,Premier League,UK,Forward,9.5M,44K,"J. Hernández, ST",,"9,500,000.00",9500000
1297,J. Hesketh,23,England,Southampton,67,76,€1.2M,€14K,RM,2021,65,53,69,72,40,45,Premier League,UK,Midfielder,1.2M,14K,"J. Hesketh, RM",,"1,200,000.00",1200000
1298,J. Hofmann,26,Germany,Borussia Monchengladbach,78,79,€12M,€30K,CAM,2023,76,69,76,78,47,62,Bundesliga,Germany,Midfielder,12M,30K,"J. Hofmann, CAM",,"12,000,000.00",12000000
1299,J. Holebas,35,Greece,Watford,78,78,€2.9M,€42K,LB,2020,69,65,75,74,76,76,Premier League,UK,Defender,2.9M,42K,"J. Holebas, LB",,"2,900,000.00",2900000
1300,J. Homawoo,21,Togo,FC Nantes,60,67,€270K,€3K,CB,2020,54,30,40,42,60,58,Ligue 1,France,Defender,270K,3K,"J. Homawoo, CB",,"270,000.00",270000
1301,J. Huth,25,Germany,SC Paderborn 07,69,74,€1M,€8K,GK,2022,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,1M,8K,"J. Huth, GK",,"1,000,000.00",1000000
1302,J. Ibe,23,England,Bournemouth,73,78,€5.5M,€39K,RM,2020,78,66,68,78,41,61,Premier League,UK,Midfielder,5.5M,39K,"J. Ibe, RM",,"5,500,000.00",5500000
1303,J. Ikone,21,France,LOSC Lille,78,86,€15.5M,€29K,CAM,2023,89,70,72,82,33,60,Ligue 1,France,Midfielder,15.5M,29K,"J. Ikone, CAM",,"15,500,000.00",15500000
1304,J. Ilicic,31,Slovenia,Atalanta,84,84,€28M,€92K,CF,2021,70,84,84,85,43,67,Serie A,Italy,Forward,28M,92K,"J. Ilicic, CF",,"28,000,000.00",28000000
1305,J. Italiano,17,Australia,Borussia Monchengladbach,61,82,€550K,€1K,LM,2022,79,55,56,68,28,46,Bundesliga,Germany,Midfielder,550K,1K,"J. Italiano, LM",,"550,000.00",550000
1306,J. Izquierdo,26,Colombia,Brighton & Hove Albion,76,76,€8.5M,€48K,LW,2021,86,69,67,80,38,53,Premier League,UK,Forward,8.5M,48K,"J. Izquierdo, LW",,"8,500,000.00",8500000
1307,J. Jach,25,Poland,Crystal Palace,66,73,€800K,€12K,CB,2021,54,45,50,55,64,73,Premier League,UK,Defender,800K,12K,"J. Jach, CB",,"800,000.00",800000
1308,J. Jankto,23,Czech Republic,Sampdoria,75,84,€10M,€27K,CM,2023,77,70,73,76,67,64,Serie A,Italy,Midfielder,10M,27K,"J. Jankto, CM",,"10,000,000.00",10000000
1309,J. Johansson,29,Sweden,Stade Rennais FC,73,73,€3.8M,€32K,CM,2020,52,63,65,64,74,81,Ligue 1,France,Midfielder,3.8M,32K,"J. Johansson, CM",,"3,800,000.00",3800000
1310,J. Joronen,26,Finland,Brescia,71,75,€2.2M,€7K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,2.2M,7K,"J. Joronen, GK",,"2,200,000.00",2200000
1311,J. Justin,21,England,Leicester City,69,83,€2.1M,€20K,RB,2024,76,47,66,69,66,66,Premier League,UK,Defender,2.1M,20K,"J. Justin, RB",,"2,100,000.00",2100000
1312,J. Kade,20,Germany,1. FC Union Berlin,62,79,€675K,€5K,CAM,2021,67,52,59,67,61,36,Bundesliga,Germany,Midfielder,675K,5K,"J. Kade, CAM",,"675,000.00",675000
1313,J. Kayembe,24,Belgium,FC Nantes,67,70,€975K,€8K,LW,2021,81,55,60,71,37,54,Ligue 1,France,Forward,975K,8K,"J. Kayembe, LW",,"975,000.00",975000
1314,J. Keita,20,Guinea,Dijon FCO,67,78,€1.3M,€4K,LW,2021,89,62,53,73,32,44,Ligue 1,France,Forward,1.3M,4K,"J. Keita, LW",,"1,300,000.00",1300000
1315,J. Kenny,22,England,FC Schalke 04,73,79,€4.9M,€18K,RB,2020,72,41,63,68,73,68,Bundesliga,Germany,Defender,4.9M,18K,"J. Kenny, RB",,"4,900,000.00",4900000
1316,J. Kimmich,24,Germany,FC Bayern Munchen,86,88,€48M,€125K,RB,2023,72,69,86,84,79,78,Bundesliga,Germany,Defender,48M,125K,"J. Kimmich, RB",,"48,000,000.00",48000000
1317,J. King,27,Norway,Bournemouth,79,80,€14.5M,€77K,CF,2021,88,79,69,79,38,75,Premier League,UK,Forward,14.5M,77K,"J. King, CF",,"14,500,000.00",14500000
1318,J. Kitolano,19,Norway,Wolverhampton Wanderers,60,72,€325K,€5K,LWB,2021,79,37,51,60,52,58,Premier League,UK,Defender,325K,5K,"J. Kitolano, LWB",,"325,000.00",325000
1319,J. Kluivert,20,Netherlands,Roma,75,86,€11.5M,€29K,LW,2023,88,72,66,80,37,59,Serie A,Italy,Forward,11.5M,29K,"J. Kluivert, LW",,"11,500,000.00",11500000
1320,J. Kodjia,29,Ivory Coast,Aston Villa,73,73,€4M,€46K,ST,2020,77,70,57,73,27,73,Premier League,UK,Forward,4M,46K,"J. Kodjia, ST",,"4,000,000.00",4000000
1321,J. Kounde,20,France,Sevilla FC,76,86,€11.5M,€11K,CB,2024,70,31,48,62,78,69,La Liga,Spain,Defender,11.5M,11K,"J. Kounde, CB",,"11,500,000.00",11500000
1322,J. Krahl,19,Germany,1. FC Koln,58,72,€230K,€1K,GK,2022,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,230K,1K,"J. Krahl, GK",,"230,000.00",230000
1323,J. Kucka,32,Slovakia,Parma,77,77,€6.5M,€42K,CM,2022,60,72,72,74,77,88,Serie A,Italy,Midfielder,6.5M,42K,"J. Kucka, CM",,"6,500,000.00",6500000
1324,J. Kurtic,30,Slovenia,SPAL,75,75,€6M,€15K,CM,2022,61,69,73,71,71,78,Serie A,Italy,Midfielder,6M,15K,"J. Kurtic, CM",,"6,000,000.00",6000000
1325,J. Lahne,17,Sweden,Amiens SC,60,77,€425K,€1K,ST,2020,92,58,51,63,35,64,Ligue 1,France,Forward,425K,1K,"J. Lahne, ST",,"425,000.00",425000
1326,J. Larsen,20,Denmark,Borussia Dortmund,75,85,€11M,€41K,LM,2021,85,70,68,75,57,73,Bundesliga,Germany,Midfielder,11M,41K,"J. Larsen, LM",,"11,000,000.00",11000000
1327,J. Larsen,28,Denmark,Udinese,74,74,€4.8M,€15K,RB,2022,76,55,63,69,72,76,Serie A,Italy,Defender,4.8M,15K,"J. Larsen, RB",,"4,800,000.00",4800000
1328,J. Lascelles,25,England,Newcastle United,78,82,€12M,€37K,CB,2024,59,28,51,57,78,80,Premier League,UK,Defender,12M,37K,"J. Lascelles, CB",,"12,000,000.00",12000000
1329,J. Latibeaudiere,19,England,Manchester City,60,79,€425K,€7K,CB,2020,61,28,42,47,60,59,Premier League,UK,Defender,425K,7K,"J. Latibeaudiere, CB",,"425,000.00",425000
1330,J. Lea Siliki,23,France,Stade Rennais FC,72,79,€4.3M,€23K,CM,2021,71,69,71,74,68,67,Ligue 1,France,Midfielder,4.3M,23K,"J. Lea Siliki, CM",,"4,300,000.00",4300000
1331,J. Lefort,25,France,Amiens SC,71,76,€2.8M,€11K,CB,2021,65,26,58,63,71,72,Ligue 1,France,Defender,2.8M,11K,"J. Lefort, CB",,"2,800,000.00",2800000
1332,J. Lerma,24,Colombia,Bournemouth,79,83,€15M,€55K,CDM,2023,73,64,72,73,78,80,Premier League,UK,Midfielder,15M,55K,"J. Lerma, CDM",,"15,000,000.00",15000000
1333,J. Lewis,21,Northern Ireland,Norwich City,72,83,€4.9M,€21K,LB,2023,79,51,60,70,70,66,Premier League,UK,Defender,4.9M,21K,"J. Lewis, LB",,"4,900,000.00",4900000
1334,J. Lingard,26,England,Manchester United,82,82,€24M,€135K,CAM,2021,80,78,76,83,58,72,Premier League,UK,Midfielder,24M,135K,"J. Lingard, CAM",,"24,000,000.00",24000000
1335,J. Locadia,25,Netherlands,Brighton & Hove Albion,76,79,€10M,€46K,ST,2022,73,75,71,73,36,73,Premier League,UK,Forward,10M,46K,"J. Locadia, ST",,"10,000,000.00",10000000
1336,J. Lokilo,20,DR Congo,Crystal Palace,58,75,€280K,€6K,RM,2020,77,53,52,67,27,51,Premier League,UK,Midfielder,280K,6K,"J. Lokilo, RM",,"280,000.00",280000
1337,J. Lossl,30,Denmark,Everton,75,76,€5M,€46K,GK,2022,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,5M,46K,"J. Lossl, GK",,"5,000,000.00",5000000
1338,J. Lukaku,24,Belgium,Lazio,77,80,€11.5M,€39K,LM,2023,91,61,70,80,71,78,Serie A,Italy,Midfielder,11.5M,39K,"J. Lukaku, LM",,"11,500,000.00",11500000
1339,J. Lundstram,25,England,Sheffield United,67,70,€950K,€11K,CM,2020,65,58,64,62,68,71,Premier League,UK,Midfielder,950K,11K,"J. Lundstram, CM",,"950,000.00",950000
1340,J. Maddison,22,England,Leicester City,79,84,€17M,€72K,CAM,2023,75,72,82,79,39,57,Premier League,UK,Midfielder,17M,72K,"J. Maddison, CAM",,"17,000,000.00",17000000
1341,J. Maja,20,England,FC Girondins de Bordeaux,66,80,€1.4M,€7K,ST,2023,76,67,52,62,28,56,Ligue 1,France,Forward,1.4M,7K,"J. Maja, ST",,"1,400,000.00",1400000
1342,J. Makengo,21,France,Toulouse Football Club,70,80,€2.8M,€11K,CM,2020,68,64,71,71,67,65,Ligue 1,France,Midfielder,2.8M,11K,"J. Makengo, CM",,"2,800,000.00",2800000
1343,J. Marie,27,France,Dijon FCO,72,73,€3.5M,€11K,CM,2020,57,56,66,72,66,67,Ligue 1,France,Midfielder,3.5M,11K,"J. Marie, CM",,"3,500,000.00",3500000
1344,J. Martin,29,France,RC Strasbourg Alsace,77,77,€8.5M,€31K,CM,2020,62,69,77,75,68,73,Ligue 1,France,Midfielder,8.5M,31K,"J. Martin, CM",,"8,500,000.00",8500000
1345,J. Martin,17,England,Norwich City,59,77,€300K,€1K,LM,2020,71,54,57,60,28,44,Premier League,UK,Midfielder,300K,1K,"J. Martin, LM",,"300,000.00",300000
1346,J. Mateta,22,France,1. FSV Mainz 05,78,85,€15M,€29K,ST,2023,82,75,53,73,34,77,Bundesliga,Germany,Forward,15M,29K,"J. Mateta, ST",,"15,000,000.00",15000000
1347,J. Matip,27,Cameroon,Liverpool,82,84,€23M,€99K,CB,2020,61,46,68,67,83,76,Premier League,UK,Defender,23M,99K,"J. Matip, CB",,"23,000,000.00",23000000
1348,J. McArthur,31,Scotland,Crystal Palace,76,76,€6.5M,€48K,CM,2020,60,65,72,73,71,75,Premier League,UK,Midfielder,6.5M,48K,"J. McArthur, CM",,"6,500,000.00",6500000
1349,J. McCarthy,28,Republic of Ireland,Crystal Palace,75,75,€6M,€44K,CDM,2022,58,60,73,73,74,65,Premier League,UK,Midfielder,6M,44K,"J. McCarthy, CDM",,"6,000,000.00",6000000
1350,J. McGinn,24,Scotland,Aston Villa,75,80,€9M,€42K,CM,2024,73,66,71,76,70,78,Premier League,UK,Midfielder,9M,42K,"J. McGinn, CM",,"9,000,000.00",9000000
1351,J. Mees,23,Germany,1. FC Union Berlin,69,76,€1.5M,€16K,LW,2021,73,68,62,72,21,59,Bundesliga,Germany,Forward,1.5M,16K,"J. Mees, LW",,"1,500,000.00",1500000
1352,J. Meier,19,Germany,1. FSV Mainz 05,61,75,€500K,€2K,LB,2022,63,43,47,55,61,63,Bundesliga,Germany,Defender,500K,2K,"J. Meier, LB",,"500,000.00",500000
1353,J. Mejías,21,Venezuela,Atletico Madrid,65,75,€800K,€7K,CB,2020,66,23,37,39,66,57,La Liga,Spain,Defender,800K,7K,"J. Mejías, CB",,"800,000.00",800000
1354,J. Milner,33,England,Liverpool,81,81,€10.5M,€105K,CM,2020,61,70,82,77,77,78,Premier League,UK,Midfielder,10.5M,105K,"J. Milner, CM",,"10,500,000.00",10500000
1355,J. Minala,22,Cameroon,Lazio,69,75,€1.4M,€17K,CM,2024,59,63,64,68,63,71,Serie A,Italy,Midfielder,1.4M,17K,"J. Minala, CM",,"1,400,000.00",1400000
1356,J. Morávek,29,Czech Republic,FC Augsburg,72,72,€3M,€18K,CM,2022,46,69,73,74,55,59,Bundesliga,Germany,Midfielder,3M,18K,"J. Morávek, CM",,"3,000,000.00",3000000
1357,J. Morel,35,Madagascar,Stade Rennais FC,75,75,€2M,€23K,CB,2020,67,44,61,59,74,78,Ligue 1,France,Defender,2M,23K,"J. Morel, CB",,"2,000,000.00",2000000
1358,J. Moulin,33,France,AS Saint-etienne,68,68,€475K,€9K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,475K,9K,"J. Moulin, GK",,"475,000.00",475000
1359,J. Murillo,27,Colombia,Sampdoria,79,82,€13.5M,€38K,CB,2020,75,40,59,63,79,80,Serie A,Italy,Defender,13.5M,38K,"J. Murillo, CB",,"13,500,000.00",13500000
1360,J. Musso,25,Argentina,Udinese,78,83,€10M,€14K,GK,2023,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,10M,14K,"J. Musso, GK",,"10,000,000.00",10000000
1361,J. Narváez,24,Colombia,Real Betis,69,75,€1.4M,€9K,LM,2021,74,67,64,70,61,62,La Liga,Spain,Midfielder,1.4M,9K,"J. Narváez, LM",,"1,400,000.00",1400000
1362,J. O'Connell,25,England,Sheffield United,74,79,€6.5M,€26K,CB,2023,63,37,50,55,73,78,Premier League,UK,Defender,6.5M,26K,"J. O'Connell, CB",,"6,500,000.00",6500000
1363,J. Oblak,26,Slovenia,Atletico Madrid,91,93,€77.5M,€125K,GK,2023,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,77.5M,125K,"J. Oblak, GK",,"77,500,000.00",77500000
1364,J. Otero,24,Colombia,Amiens SC,72,78,€4.3M,€12K,RM,2021,90,76,65,70,31,69,Ligue 1,France,Midfielder,4.3M,12K,"J. Otero, RM",,"4,300,000.00",4300000
1365,J. Palomino,29,Argentina,Atalanta,77,77,€7.5M,€47K,CB,2020,52,32,55,58,78,80,Serie A,Italy,Defender,7.5M,47K,"J. Palomino, CB",,"7,500,000.00",7500000
1366,J. Panzo,18,England,AS Monaco,65,84,€1M,€2K,CB,2021,58,38,50,53,64,63,Ligue 1,France,Defender,1M,2K,"J. Panzo, CB",,"1,000,000.00",1000000
1367,J. Papeau,23,France,Amiens SC,59,65,€210K,€3K,CAM,2022,63,52,58,62,41,58,Ligue 1,France,Midfielder,210K,3K,"J. Papeau, CAM",,"210,000.00",210000
1368,J. Pastore,30,Argentina,Roma,79,79,€11.5M,€47K,CM,2022,62,73,81,82,56,58,Serie A,Italy,Midfielder,11.5M,47K,"J. Pastore, CM",,"11,500,000.00",11500000
1369,J. Pavlenka,27,Czech Republic,SV Werder Bremen,84,86,€26M,€37K,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,26M,37K,"J. Pavlenka, GK",,"26,000,000.00",26000000
1370,J. Petriccione,24,Italy,Lecce,68,74,€1.2M,€6K,CM,2023,58,50,68,67,55,62,Serie A,Italy,Midfielder,1.2M,6K,"J. Petriccione, CM",,"1,200,000.00",1200000
1371,J. Pickford,25,England,Everton,83,86,€24M,€78K,GK,2024,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,24M,78K,"J. Pickford, GK",,"24,000,000.00",24000000
1372,J. Pied,30,France,LOSC Lille,73,73,€3.2M,€26K,RB,2020,66,67,73,74,73,68,Ligue 1,France,Defender,3.2M,26K,"J. Pied, RB",,"3,200,000.00",3200000
1373,J. Pohjanpalo,24,Finland,Bayer 04 Leverkusen,71,76,€3.2M,€31K,ST,2022,66,70,54,67,26,65,Bundesliga,Germany,Forward,3.2M,31K,"J. Pohjanpalo, ST",,"3,200,000.00",3200000
1374,J. Powell,20,England,West Ham United,58,71,€250K,€8K,LM,2020,73,43,54,59,48,54,Premier League,UK,Midfielder,250K,8K,"J. Powell, LM",,"250,000.00",250000
1375,J. Ramsey,18,England,Aston Villa,53,76,€130K,€3K,CAM,2022,60,38,55,53,40,46,Premier League,UK,Midfielder,130K,3K,"J. Ramsey, CAM",,"130,000.00",130000
1376,J. Rasmussen,22,Denmark,Fiorentina,68,79,€1.4M,€14K,CB,2023,59,33,53,57,66,71,Serie A,Italy,Defender,1.4M,14K,"J. Rasmussen, CB",,"1,400,000.00",1400000
1377,J. Reine-Adelaïde,21,France,Olympique Lyonnais,74,84,€9M,€36K,CAM,2024,79,68,68,78,50,66,Ligue 1,France,Midfielder,9M,36K,"J. Reine-Adelaïde, CAM",,"9,000,000.00",9000000
1378,J. Rieckmann,18,Germany,SV Werder Bremen,59,76,€300K,€1K,CB,2022,54,31,46,45,59,56,Bundesliga,Germany,Defender,300K,1K,"J. Rieckmann, CB",,"300,000.00",300000
1379,J. Riedewald,22,Netherlands,Crystal Palace,72,75,€3.5M,€27K,CB,2022,64,51,68,68,72,66,Premier League,UK,Defender,3.5M,27K,"J. Riedewald, CB",,"3,500,000.00",3500000
1380,J. Rodriguez,29,England,Burnley,76,76,€7.5M,€38K,ST,2021,72,74,68,72,41,68,Premier League,UK,Forward,7.5M,38K,"J. Rodriguez, ST",,"7,500,000.00",7500000
1381,J. Rodríguez,27,Colombia,Real Madrid,85,85,€40.5M,€225K,CAM,2020,55,86,87,86,50,63,La Liga,Spain,Midfielder,40.5M,225K,"J. Rodríguez, CAM",,"40,500,000.00",40500000
1382,J. Roles,20,Cyprus,Tottenham Hotspur,63,80,€800K,€11K,CAM,2021,67,59,59,64,47,52,Premier League,UK,Midfielder,800K,11K,"J. Roles, CAM",,"800,000.00",800000
1383,J. Roussillon,26,France,VfL Wolfsburg,82,83,€22.5M,€56K,LB,2023,89,65,76,80,78,78,Bundesliga,Germany,Defender,22.5M,56K,"J. Roussillon, LB",,"22,500,000.00",22500000
1384,J. Ruddy,32,England,Wolverhampton Wanderers,70,70,€1.1M,€27K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,1.1M,27K,"J. Ruddy, GK",,"1,100,000.00",1100000
1385,J. Rumpf,19,Germany,SC Paderborn 07,61,73,€400K,€2K,CB,2023,52,31,40,41,61,56,Bundesliga,Germany,Defender,400K,2K,"J. Rumpf, CB",,"400,000.00",400000
1386,J. Ryerson,21,Norway,1. FC Union Berlin,66,74,€850K,€7K,RB,2021,67,56,60,65,63,74,Bundesliga,Germany,Defender,850K,7K,"J. Ryerson, RB",,"850,000.00",850000
1387,J. Sala,27,Italy,Sampdoria,71,71,€2.1M,€19K,RB,2020,69,61,69,71,70,70,Serie A,Italy,Defender,2.1M,19K,"J. Sala, RB",,"2,100,000.00",2100000
1388,J. Sambia,22,France,Montpellier HSC,69,77,€1.5M,€12K,CM,2022,77,68,71,71,63,67,Ligue 1,France,Midfielder,1.5M,12K,"J. Sambia, CM",,"1,500,000.00",1500000
1389,J. Sanabria,19,Uruguay,Atletico Madrid,64,82,€975K,€6K,RM,2023,71,57,63,66,46,51,La Liga,Spain,Midfielder,975K,6K,"J. Sanabria, RM",,"975,000.00",975000
1390,J. Sancho,19,England,Borussia Dortmund,84,92,€44.5M,€61K,RM,2022,88,72,77,90,36,60,Bundesliga,Germany,Midfielder,44.5M,61K,"J. Sancho, RM",,"44,500,000.00",44500000
1391,J. Sargent,19,United States,SV Werder Bremen,67,84,€1.6M,€6K,ST,2022,76,65,52,68,35,62,Bundesliga,Germany,Forward,1.6M,6K,"J. Sargent, ST",,"1,600,000.00",1600000
1392,J. Schieber,30,Germany,FC Augsburg,72,72,€3M,€19K,ST,2021,58,74,58,64,30,71,Bundesliga,Germany,Forward,3M,19K,"J. Schieber, ST",,"3,000,000.00",3000000
1393,J. Schlupp,26,Ghana,Crystal Palace,74,75,€6.5M,€43K,LM,2021,86,67,66,73,69,75,Premier League,UK,Midfielder,6.5M,43K,"J. Schlupp, LM",,"6,500,000.00",6500000
1394,J. Schmid,29,France,SC Freiburg,75,75,€5.5M,€22K,RB,2023,76,64,74,75,69,75,Bundesliga,Germany,Defender,5.5M,22K,"J. Schmid, RB",,"5,500,000.00",5500000
1395,J. Schouten,22,Netherlands,Bologna,72,79,€4M,€17K,CDM,2024,67,55,65,73,70,66,Serie A,Italy,Midfielder,4M,17K,"J. Schouten, CDM",,"4,000,000.00",4000000
1396,J. Segre,22,Italy,Torino,64,73,€675K,€8K,CM,2020,60,60,60,63,53,59,Serie A,Italy,Midfielder,675K,8K,"J. Segre, CM",,"675,000.00",675000
1397,J. Shelvey,27,England,Newcastle United,77,78,€10M,€40K,CM,2021,62,72,79,72,62,74,Premier League,UK,Midfielder,10M,40K,"J. Shelvey, CM",,"10,000,000.00",10000000
1398,J. Siebatcheu,23,France,Stade Rennais FC,71,77,€3.3M,€23K,ST,2023,64,69,58,66,29,68,Ligue 1,France,Forward,3.3M,23K,"J. Siebatcheu, ST",,"3,300,000.00",3300000
1399,J. Silva,25,Argentina,CD Leganes,74,79,€6.5M,€22K,LWB,2023,75,60,68,72,71,74,La Liga,Spain,Defender,6.5M,22K,"J. Silva, LWB",,"6,500,000.00",6500000
1400,J. Simpson,22,England,Bournemouth,67,76,€1.1M,€15K,CB,2021,56,37,50,54,66,71,Premier League,UK,Defender,1.1M,15K,"J. Simpson, CB",,"1,100,000.00",1100000
1401,J. St. Juste,22,Netherlands,1. FSV Mainz 05,74,79,€7M,€18K,CB,2023,82,58,64,73,73,75,Bundesliga,Germany,Defender,7M,18K,"J. St. Juste, CB",,"7,000,000.00",7000000
1402,J. Stacey,23,England,Bournemouth,70,79,€2.5M,€24K,RB,2023,76,54,65,69,66,70,Premier League,UK,Defender,2.5M,24K,"J. Stacey, RB",,"2,500,000.00",2500000
1403,J. Stanic,20,Croatia,FC Augsburg,60,73,€375K,€2K,CB,2022,53,23,36,42,61,61,Bundesliga,Germany,Defender,375K,2K,"J. Stanic, CB",,"375,000.00",375000
1404,J. Stanislas,29,England,Bournemouth,75,75,€6.5M,€55K,LM,2021,75,70,73,75,36,55,Premier League,UK,Midfielder,6.5M,55K,"J. Stanislas, LM",,"6,500,000.00",6500000
1405,J. Steele,28,England,Brighton & Hove Albion,68,69,€750K,€14K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,750K,14K,"J. Steele, GK",,"750,000.00",750000
1406,J. Steer,26,England,Aston Villa,70,73,€1.6M,€21K,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,1.6M,21K,"J. Steer, GK",,"1,600,000.00",1600000
1407,J. Stephens,25,England,Southampton,74,80,€7M,€37K,CB,2022,61,42,58,67,74,71,Premier League,UK,Defender,7M,37K,"J. Stephens, CB",,"7,000,000.00",7000000
1408,J. Sterry,23,England,Newcastle United,61,69,€325K,€5K,RB,2020,64,36,52,60,60,64,Premier League,UK,Defender,325K,5K,"J. Sterry, RB",,"325,000.00",325000
1409,J. Stones,25,England,Manchester City,83,87,€30M,€140K,CB,2022,68,36,70,72,84,77,Premier League,UK,Defender,30M,140K,"J. Stones, CB",,"30,000,000.00",30000000
1410,J. Tah,23,Germany,Bayer 04 Leverkusen,83,88,€31M,€67K,CB,2023,71,27,59,57,83,81,Bundesliga,Germany,Defender,31M,67K,"J. Tah, CB",,"31,000,000.00",31000000
1411,J. Tanganga,20,England,Tottenham Hotspur,65,80,€1.1M,€12K,CB,2020,63,22,43,51,64,66,Premier League,UK,Defender,1.1M,12K,"J. Tanganga, CB",,"1,100,000.00",1100000
1412,J. Tarkowski,26,England,Burnley,79,82,€14M,€39K,CB,2022,58,45,66,63,79,78,Premier League,UK,Defender,14M,39K,"J. Tarkowski, CB",,"14,000,000.00",14000000
1413,J. Tell,22,France,Stade Rennais FC,65,74,€850K,€9K,ST,2022,65,65,56,62,31,61,Ligue 1,France,Forward,850K,9K,"J. Tell, ST",,"850,000.00",850000
1414,J. Theissen,21,Germany,Fortuna Dusseldorf,59,73,€290K,€2K,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,290K,2K,"J. Theissen, GK",,"290,000.00",290000
1415,J. Tilley,21,England,Brighton & Hove Albion,60,74,€450K,€5K,CAM,2020,68,55,57,65,22,49,Premier League,UK,Midfielder,450K,5K,"J. Tilley, CAM",,"450,000.00",450000
1416,J. Todibo,19,France,FC Barcelona,71,86,€4.8M,€33K,CB,2023,69,43,58,63,67,76,La Liga,Spain,Defender,4.8M,33K,"J. Todibo, CB",,"4,800,000.00",4800000
1417,J. Toljan,24,Germany,Sassuolo,72,75,€3.5M,€26K,RB,2020,87,42,62,70,66,68,Serie A,Italy,Defender,3.5M,26K,"J. Toljan, RB",,"3,500,000.00",3500000
1418,J. Tomkins,30,England,Crystal Palace,78,78,€8.5M,€51K,CB,2021,41,32,57,54,80,75,Premier League,UK,Defender,8.5M,51K,"J. Tomkins, CB",,"8,500,000.00",8500000
1419,J. Torunarigha,21,Germany,Hertha BSC,72,83,€4.9M,€12K,CB,2020,74,33,53,61,73,72,Bundesliga,Germany,Defender,4.9M,12K,"J. Torunarigha, CB",,"4,900,000.00",4900000
1420,J. Vardy,32,England,Leicester City,82,82,€17.5M,€115K,ST,2022,88,81,65,74,55,75,Premier League,UK,Forward,17.5M,115K,"J. Vardy, ST",,"17,500,000.00",17500000
1421,J. Veretout,26,France,Roma,78,81,€12.5M,€42K,CM,2020,63,71,78,77,71,69,Serie A,Italy,Midfielder,12.5M,42K,"J. Veretout, CM",,"12,500,000.00",12500000
1422,J. Vertonghen,32,Belgium,Tottenham Hotspur,87,87,€32.5M,€155K,CB,2020,63,63,74,72,87,79,Premier League,UK,Defender,32.5M,155K,"J. Vertonghen, CB",,"32,500,000.00",32500000
1423,J. Vestergaard,26,Denmark,Southampton,78,79,€11M,€51K,CB,2022,34,49,61,48,80,77,Premier League,UK,Defender,11M,51K,"J. Vestergaard, CB",,"11,000,000.00",11000000
1424,J. Victoria,23,Colombia,Granada CF,62,70,€450K,€4K,ST,2021,66,62,47,64,26,45,La Liga,Spain,Forward,450K,4K,"J. Victoria, ST",,"450,000.00",450000
